GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB007923	610.5851615	315.0283535	134.4355895	174.6489372	186.4267409	287.2044532	197.119739	290.1867019	231.8512285	176.5111398	56.57806031	305.117659	502.8268172	498.9698894	477.6426219
AB007928	107.613527	148.0095559	199.1124454	519.7963533	242.809185	75.02247518	228.6362984	485.9654958	114.6332241	263.2226297	149.5731711	161.7092675	71.99414777	88.39250705	859.7711422
AB007937	1349.042824	1235.781133	316.8703992	225.9681952	835.0811649	546.7007592	179.1397235	279.1591984	323.8145265	99.29985697	1368.392812	536.006728	77.83503325	325.4628497	259.5169402
AB007940	900.0140567	57.4632907	967.7523946	14.45071222	831.4625357	1238.116188	759.6557875	879.8067186	873.2885537	294.465694	649.9802953	1264.253298	2468.769916	930.0362654	597.0156097
AB008790	2109.007473	2382.668692	2030.602078	1695.035948	452.6669588	31.18915908	1105.191951	2181.888077	1722.522351	2597.381253	2730.498583	739.0064369	164.98594	394.995818	928.71061
AB010419	1410.203968	921.5731188	1567.694634	738.4811693	965.1015652	1413.603692	767.5540575	868.206094	1090.079428	944.078515	1460.658088	1682.636003	341.3534368	257.6220245	934.7977614
AB010962	690.2095304	466.4389903	27.71642896	571.0447377	2541.40891	181.8048173	69.94164089	77.83780911	23.01242755	49.19801929	78.74265366	120.0333185	17.16965294	36.69241325	258.2074261
AB011088	674.4404184	29.67530886	191.712448	1294.447435	679.9133558	410.8332439	1340.62523	2083.488329	1758.601111	58.95806121	786.1297233	770.470365	159.1608821	290.6891833	1391.807065
AB011097	13.41047294	59.18970228	10.21328988	11.74046169	11.2795615	14.91949218	21.38306538	17.94255474	11.76121956	10.44386263	20.10744855	10.74438504	10.9369782	18.865472	14.30131352
AB011103	30.66477879	21.72577182	22.25073945	21.45298014	53.93386453	415.4063552	13.85077301	27.91015859	11.16765675	20.627176	12.97542098	35.9022252	281.0527325	101.81701	12.76257142
AB011123	70.14053075	483.753439	593.4958866	195.7505118	544.7504029	62.53352235	880.0712094	1033.949756	1202.409812	844.98498	1259.726982	1444.23282	1904.833919	1214.034821	223.2134335
AB011154	144.8274392	325.6298481	98.85233707	35.66375818	44.68545301	15.45956109	521.5688497	449.7160767	340.9006735	254.9586052	33.34169563	220.4869076	224.2349234	126.9606604	626.1629178
AB011157	1304.263932	91.77288198	2201.550521	364.3044451	265.848027	837.6269614	247.3162903	552.1691068	421.114343	658.5517331	498.7797046	1287.675458	719.9520162	441.6974844	506.7030519
AB011163	3092.368209	17.89276319	1541.083322	2475.501188	17.33897073	3658.199893	3230.291242	2372.091061	2376.92507	959.7603576	964.9460402	1784.946544	1118.949557	551.1944873	2916.313494
